Dataset,Subset,Metric,n,rho,p,q_BH,sig,CI_lo,CI_hi
Japan,HC,LF_HF,16,-0.17058823529411765,0.527609768861268,0.9655081698956275,,-0.6666913946587538,0.3715922619047617
Japan,HC,LF_norm,16,-0.011764705882352941,0.9655081698956276,0.9655081698956275,,-0.5204126426690079,0.5703007518796989
Japan,HC,HF_norm,16,-0.055882352941176466,0.8371372217954723,0.9655081698956275,,-0.5665919282511211,0.4602986706344256
Japan,HC,DFA_alpha1,16,-0.2058823529411765,0.4442846410521438,0.9655081698956275,,-0.692589150058093,0.36436905421163285
Japan,HC,DFA_alpha2,0,,,,,,
Pooled,All,SDNN,166,-0.0457805090804153,0.5580833366638497,0.5580833366638497,,-0.1717659116153017,0.08185335486854126
Pooled,All,RMSSD,166,0.0836814869712929,0.28376725082780935,0.3243054295174964,,-0.05744924389789882,0.22115077315215104
Pooled,All,pNN50,166,0.4445113433276984,1.9788320662652376e-09,2.356457693055445e-08,***,0.3131912913987213,0.558837877856093
Pooled,All,SDANN,37,0.3015647226173541,0.06969679395525319,0.12390541147600567,,-0.035169771090056826,0.5663764397764697
Pooled,All,SD1,166,0.08368411042099809,0.28375210258523126,0.3243054295174964,,-0.05061459895931754,0.21868589755716913
Pooled,All,SD2,166,-0.09658623607112174,0.21574582406421258,0.28766109875228346,,-0.21715224690770987,0.045677818108074884
Pooled,All,SD1SD2,129,-0.08135621645796066,0.35937557917122487,0.3833339511159732,,-0.24124458215998956,0.08199324868413528
Pooled,All,VLF_power,166,0.29051688517816504,0.0001464641191465788,0.0005858564765863152,***,0.1478633678937386,0.41889911418314857
Pooled,All,LF_power,166,0.36285064044965937,1.5518389294919133e-06,8.276474290623538e-06,***,0.21403161498087836,0.4973118136536247
Pooled,All,HF_power,166,0.22437447121091883,0.0036588692917991425,0.00836312980982661,**,0.07315425964384918,0.3666335231128265
Pooled,All,Total_power,166,0.2853434423595307,0.00019424319383976645,0.0006215782202872526,***,0.13942242092711807,0.4315945592282985
Pooled,All,LF_HF,166,-0.11570069062313491,0.13769626024369327,0.22031401638990925,,-0.2662345798887424,0.0412621236771397
Pooled,All,LF_norm,166,0.44020305500718176,2.945572116319306e-09,2.356457693055445e-08,***,0.297221766955342,0.5654246674965246
Pooled,All,HF_norm,166,0.17932459287339889,0.020791514160389036,0.04158302832077807,*,0.02686573394698632,0.333492555540262
Pooled,All,DFA_alpha1,166,-0.24613336306576336,0.0013907377649023602,0.003708634039739627,**,-0.3844850823780293,-0.09925569921838043
Pooled,All,DFA_alpha2,129,0.1178779069767442,0.18337077803304477,0.26672113168442874,,-0.0479104283389838,0.27335548907375
Pooled,PD,SDNN,80,-0.07592592592592592,0.5032523027013996,0.5751454888015995,,-0.2915953283357331,0.13864908219876723
Pooled,PD,RMSSD,80,0.02531645569620253,0.8236061911964025,0.8236061911964025,,-0.19004417095514375,0.2307474078226273
Pooled,PD,pNN50,80,0.3260856830308471,0.0031589349770858493,0.016847653211124528,*,0.09384137513838231,0.5284014817340855
Pooled,PD,SDANN,21,0.35194805194805195,0.11767322930096193,0.2077681870935783,,-0.1250122698985034,0.6976637150902902
Pooled,PD,SD1,80,0.02630098452883263,0.8168636077599618,0.8236061911964025,,-0.20701740350583672,0.24687825938217633
Pooled,PD,SD2,80,-0.12824660103141117,0.2569169990003661,0.34255599866715475,,-0.31391980207043346,0.08279581156330973
Pooled,PD,SD1SD2,59,-0.15429573348918763,0.24328580351450155,0.34255599866715475,,-0.40534273343043525,0.11114800203740718
Pooled,PD,VLF_power,80,0.18788091889357714,0.09513561102983817,0.2077681870935783,,-0.043614977029461224,0.384537518576238
Pooled,PD,LF_power,80,0.4035161744022504,0.00020604952867596328,0.0016483962294077063,**,0.20186867115173562,0.5684518216906681
Pooled,PD,HF_power,80,0.23785747773089547,0.033622290689414504,0.08965944183843867,,0.03399586827003429,0.4193329345952222
